Area,BHK,Bathroom,Locality,Price
700,2,2,"Khanpur, Madangir",2400000
45,4,3,Okhla,5500000
450,2,2,Shahdara,2900000
540,5,2,Shahdara,17000000
1350,3,3,Shahdara,25000000
2250,3,2,Shahdara,10000000
1250,2,1,Shahdara,7500000
504,3,1,Shahdara,3600000
65,3,2,Shahdara,35000000
450,2,1,Shahdara,6000000
1800,4,2,Shahdara,17500000
1800,4,3,Shahdara,35000000
1530,5,2,Shahdara,10200000
1750,4,4,Vasant Kunj,29000000
2210,4,3,Okhla,41000000
760,3,2,Geeta Colony,6000000
380,1,1,Geeta Colony,2200000
900,4,1,Shahdara,15000000
810,5,6,Geeta Colony,28900000
100,3,2,Geeta Colony,5500000
50,2,1,Shahdara,1950000
58,2,1,Geeta Colony,3800000
1650,4,3,Shahdara,14000000
1000,2,2,Laxmi Nagar,7500000
852,2,2,Shahdara,2670000
700,2,2,Shahdara,2500000
990,3,2,Laxmi Nagar,4000000
450,2,1,Laxmi Nagar,3500000
1000,2,2,Laxmi Nagar,5000000
1700,4,3,Saket,29500000
1350,3,2,Saket,19000000
2100,4,3,Saket,25500000
2600,4,4,Saket,75000000
3000,4,5,Saket,75000000
1450,3,3,Saket,34000000
2050,4,4,Saket,47500000
3000,4,5,Saket,75000000
1800,3,3,Saket,23000000
900,3,2,Saket,24000000
1500,3,2,Saket,21500000
1500,3,2,Saket,28500000
1800,4,4,Saket,12500000
1674,3,3,Saket,45000000
2025,4,3,Saket,30500000
1300,3,3,Saket,22500000
990,3,3,Saket,28000000
2100,3,4,Saket,25000000
2250,4,4,Saket,33700000
1500,3,3,Saket,27000000
2700,4,4,Saket,43500000
1700,3,3,Saket,29000000
1700,3,3,Saket,30000000
2050,4,4,Saket,52100000
1800,3,3,Saket,32500000
1500,3,2,Saket,20500000
2000,4,3,Saket,25000000
1500,3,3,Saket,30000000
24300,4,5,Saket,51000000
2475,4,4,Saket,31000000
1800,3,3,Safdarjung Enclave,37500000
1300,3,3,Safdarjung Enclave,32500000
1500,3,3,Safdarjung Enclave,37500000
